name,publisher,total_episodes,id,media_type,description,external_urls,uri,genre,podcasts_per_month
Another Mother Runner,Another Mother Runner,520,7HlsUrk4KVfMrX0dcqkT8e,audio,"This weekly podcast explores the intersection of running and mothering; it was launched in 2011 by the authors of RUN LIKE A MOTHER: HOW TO GET MOVING AND NOT LOSE YOUR FAMILY, JOB, OR SANITY. Host Sarah Bowen Shea, a mom of three and veteran of 14 marathons, is joined by a rotating coterie of co-hosts and often a guest expert to discuss topics ranging from how to reach a big race goal to the value of a best running friend, and everything in between. Training, nutrition, motivation, mental toughness, TMI issues: These mother runners cover it all (and then some). This witty, conversational podcast makes a great running partner because these gals do all the talking—even on the uphills!",https://open.spotify.com/show/7HlsUrk4KVfMrX0dcqkT8e,spotify:show:7HlsUrk4KVfMrX0dcqkT8e,running,5.15
Run to the Top Podcast | The Ultimate Guide to Running,RunnersConnect : Running Coaching Community,414,4sIXIw0CbMW0on5zKXAet1,audio,"Running podcast to motivate and help runners of every level, speed, and age run their best. Claire Bartholic interviews running influencers, scientists, psychologists, nutritionists, and everyday runners with inspiring stories.",https://open.spotify.com/show/4sIXIw0CbMW0on5zKXAet1,spotify:show:4sIXIw0CbMW0on5zKXAet1,running,5.88
RunBuzz Running Podcast,Steve Carmichael | RunBuzz Running Podcast,146,43fRWm1WJwVZZ9kGnfIngU,audio,"The RunBuzz Running Podcast is a running podcast for runners like you who want practical training, nutrition and mindset tips that integrate with your busy lifestyle.  The RunBuzz running podcast features expert advice from experienced coaches, fitness experts, trainers, mindset coaches, physical therapists, nutritionists as well as everyday, recreational runners.",https://open.spotify.com/show/43fRWm1WJwVZZ9kGnfIngU,spotify:show:43fRWm1WJwVZZ9kGnfIngU,running,2.05
Runners of NYC,Runners of NYC Podcast,52,4DD2jtIBEcyVohfiimggvM,audio,Bringing you untold stories behind luminaries and legends of the New York City’s running culture. A new show from the CITIUS MAG Podcast Network. Hosted by Leigh Anne Sharek and Chris Chavez.  Support us on Patreon: https://patreon.com/runnersofnyc  Subscribe to our newsletter: https://mailchi.mp/6cd793688a6d/runnersofnyc,https://open.spotify.com/show/4DD2jtIBEcyVohfiimggvM,spotify:show:4DD2jtIBEcyVohfiimggvM,running,2
SHRED CrossFit Podcast,Marcus Creaturo,47,4Z2EbFyT0noKPkLdkH8I0a,audio,"The SHRED Podcast is all the information about what is happening at SHRED CrossFit plus valuable information about mindset, community, growth, nutrition and so much more.",https://open.spotify.com/show/4Z2EbFyT0noKPkLdkH8I0a,spotify:show:4Z2EbFyT0noKPkLdkH8I0a,crossfit,2.27
CITIUS MAG Podcast with Chris Chavez,CITIUS MAG Podcast With Chris Chavez,195,70eINNmXl67VqorbTsMOaH,audio,"A weekly podcast from CITIUSMAG.com hosted by Chris Chavez. Interviewing the stars of track and field every week. Whether it's athletes, coaches, agents, writers or other interesting figures from running culture, we sit down for a laid back chat on the latest happenings in the sport. Be sure to check out CITIUSMAG.com for all your latest running commentary.  Shop at https://www.bakline.nyc/ & use code 'CITIUS' for 15% off  Support the show and rep CITIUS MAG: https://www.bonfire.com/store/citius-mag/  ▶ Follow us: twitter.com/CitiusMag instagram.com/citiusmag facebook.com/citiusmag",https://open.spotify.com/show/70eINNmXl67VqorbTsMOaH,spotify:show:70eINNmXl67VqorbTsMOaH,running,4.38
Pace the Nation,william docs,313,69eduxltbKTWRIG1lLxKe5,audio,"A DC running centric podcast with interviews and discussions between hosts Chris Farley, william e docs and Joanna Russo, that centers around and quite often drifts away from running",https://open.spotify.com/show/69eduxltbKTWRIG1lLxKe5,spotify:show:69eduxltbKTWRIG1lLxKe5,running,4.69
The Runners Zone,Nathan Carlson,27,4qMTmxMVJAKuUk5K7zZz55,audio,"Welcome to the Runners Zone Podcast hosted by Nathan Carlson, Chris Johnson, and Joel Sattgast! We cover all things related to managing endurance athletes including managing injuries, programming strength training, and coaching strategy.",https://open.spotify.com/show/4qMTmxMVJAKuUk5K7zZz55,spotify:show:4qMTmxMVJAKuUk5K7zZz55,running,1.39
Cultra Trail Running,Art Byram,100,44etXyR0WbJtmKRKrP7V6M,audio,"Cultra Trail Running is The Cult of Ultra Culture, North East Trail running from the grass roots. Our podcast shares the unique perspective of the North East Beast Coast Ultra running scene: raw, impulsive, and irreverent. The Cultra Trail Running Podcast is a place where we can get together and discuss all the fun stuff that happens on the trails that most normal people don't care about. Join the Cult! or maybe you already have without realizing it... resistance is futile.",https://open.spotify.com/show/44etXyR0WbJtmKRKrP7V6M,spotify:show:44etXyR0WbJtmKRKrP7V6M,running,5
The Not Your Average Runner Podcast,"Jill Angie | Actionable advice, inspiration, and tips for overweight, midlife women who want to start, or get better at, running from a plus-sized certified running and life coach who loves the body she’s in.",170,0V7QvU2g85OXdNMyXlUxSe,audio,"The Not Your Average Runner Podcast teaches plus-size, mid-life women practical ways to start running in the body they have right now. Certified Running & Life Coach Jill Angie combines her real-life experience and coaching wisdom to help women find joy in learning to run in a way that honors their unique size, shape, speed or age. You’ll be surprised at how much you can enjoy running when you know how to do it! Download a free one-week jumpstart plan to get started today at www.notyouraveragerunner.com/start.",https://open.spotify.com/show/0V7QvU2g85OXdNMyXlUxSe,spotify:show:0V7QvU2g85OXdNMyXlUxSe,running,5
